,Aglaozonia.melanoidea,Cladostephus.spongiosus,Colpomenia.sinuosa,Dictyota.dichotoma,Dictyota.dichotoma.v.intricata,Dictyota.fasciola,Dictyota.spiralis,Halopteris.filicina,Halopteris.scoparia,Lobophora.variegata,Padina.pavonica,Pseudolithoderma.adriaticum,Sargassum.vulgare,Sphacelaria.cirrosa,Taonia.atomaria,Acrosorium.venulosum,Amphiroa.rigida,Amphiroa.cryptarthrodia,Corallina.elongata,Cryptonemia.lomation,Ethelia.van.bosseae,Gelidium.pusillum,Haliptilon.virgatum,Hildenbrandia.crouaniorum,Hydrolithon.farinosum,Jania.rubens,Neogoniolithon.brassica.florida,Parvocaulis.polyphysa.parvulus,Peyssonnelia.rosa.marina,Peyssonnelia.squamaria,Rhodophyllis.divaricata,Rhodymenia.ardissonei,Acetabularia.acetabulum,Bryopsis.duplex,Caulerpa.cylindracea,Cladophora.aff.coelothrix,Cladophora.coelothrix,Cladophora.prolifera,Flabellia.petiolata,Halicystis.parvula,Halimeda.tuna,Pedobesia.lamourouxii,Valonia.utricularis,Turf,Caccospongia.mollior,Chondrosia.reniformis,Cliona.viridis,Crambe.crambe,Haliclona.mediterranea,Hymedesmia.versicolor,Ircinia.dendroides,Ircinia.fasciculata,Myxilla.rosacea,Petrosia.ficiformis,Terpios.fugax,Stephanoscyphus.sp,Balanophyllia.europaea,Schizoporella.longicornis,Celleporina.sp,Lichenopora.radiata,Watersipora.subovoidea,Salmacina.dysteri,Spirorbis.sp,Arca.noae,Patella.coerulea,Paracentrotus.lividus,Perforatus.perforatus,Ascidia.mentula,Cystodites.dellechiajei,Didemnum.sp,Diplosoma.spongiforme,Pyura.dura
1N1,0,0,0,25.55555556,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,26.66666667,0,0,0,0,7.777777778,5.555555556,0,0,0,0,1.111111111,0,0,1.111111111,0,0,0,0,0,15.55555556,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,8.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0
2N1,0,0,0,18.05555556,0,0,6.944444444,4.166666667,0,0,1.388888889,0,0,0,0,0,0,1.388888889,12.5,0,0,0,0,0,0,0,0,0,1.388888889,2.777777778,0,1.388888889,0,0,0,0,27.77777778,13.88888889,2.777777778,0,0,0,0,0,0,2.777777778,0,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3N1,0,0,0,21.62162162,0,0,0,0,0,0,0,0,0,0.900900901,0,0,0,0,2.702702703,0,0,0,0,6.306306306,14.41441441,0,0,0,0.900900901,18.91891892,0,6.306306306,0,0,0,0,2.702702703,0,18.01801802,0,0,0,0,0,0,1.801801802,0,1.801801802,0,0,0,0,0,0,0,0,0,0,0,0.900900901,0,2.702702703,0,0,0,0,0,0,0,0,0,0
4N1,0,0,0,30.48780488,0,0,1.219512195,1.219512195,0,0,0,0,0,0,0,0,0,0,9.756097561,0,0,0,0,6.097560976,9.756097561,0,0,0,1.219512195,3.658536585,0,0,0,0,0,0,1.219512195,0,30.48780488,0,0,0,0,0,0,0,0,1.219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,3.658536585,0,0,0,0,0,0,0,0,0,0
5N1,0,0,0,18.86792453,0,0,1.886792453,0,1.886792453,3.773584906,0,0,0,0,0,0,0,0,5.660377358,0,0,0,0,0,0,0,0,0,0,3.773584906,0,0,1.886792453,0,0,0,47.16981132,5.660377358,5.660377358,0,0,0,0,0,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0
6N1,0,0,0,25.71428571,2.857142857,0,2.857142857,0,0,0,0,0,0,10,0,0,0,0,27.14285714,0,0,0,0,7.142857143,0,1.428571429,2.857142857,0,0,0,0,0,1.428571429,0,1.428571429,0,14.28571429,0,0,0,0,0,0,0,0,1.428571429,0,0,0,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7N1,0,0,0,25.80645161,5.376344086,0,3.225806452,0,0,0,2.150537634,0,0,0,0,0,1.075268817,0,24.7311828,0,0,0,0,2.150537634,2.150537634,2.150537634,0,0,2.150537634,6.451612903,0,0,2.150537634,0,0,0,9.677419355,0,10.75268817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8N1,0,0,0,26.02739726,0,0,5.479452055,0,0,0,2.739726027,0,0,4.109589041,0,0,0,0,20.54794521,0,0,0,0,9.589041096,0,0,10.95890411,0,0,0,0,0,1.369863014,0,0,0,10.95890411,0,1.369863014,0,0,0,0,0,0,0,0,2.739726027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.109589041,0,0,0,0,0
9N1,0,0,0,0,0,0,0,24.17582418,0,0,0,0,0,2.197802198,0,0,0,0,0,0,0,0,0,13.18681319,9.89010989,0,0,0,0,1.098901099,0,0,0,0,0,0,0,6.593406593,13.18681319,0,0,0,0,0,0,0,0,17.58241758,0,0,0,0,0,0,0,0,0,0,2.197802198,0,0,0,7.692307692,0,0,0,0,0,0,0,2.197802198,0
10N1,0,0,0,0,2.083333333,0,0,0,0,0,0,0,0,3.125,0,0,0,0,26.04166667,0,0,0,0,6.25,7.291666667,0,3.125,0,0,9.375,0,0,0,0,0,0,5.208333333,0,21.875,0,0,0,0,0,0,0,0,5.208333333,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,4.166666667,0,0,0,0,0,0,3.125,0,0
