Species ;form;feeding;growth;calcification;mobility;agerepromaturity;chem
Acetabularia.acetabulum;b;a;2;b;1;1;1
Anadyomene.stellata;b;a;2;a;1;1;2
Bryopsis.duplex;b;a;2;a;1;1;1
Caulerpa.cylindracea;b;a;3;a;1;1;2
Cladophora.aff.coelothrix;b;a;3;a;1;1;1
Cladophora.coelothrix;b;a;3;a;1;1;1
Cladophora.prolifera;b;a;3;a;1;1;1
Cladophora.sp;b;a;3;a;1;1;1
Codium.bursa;c;a;2;a;1;2;2
Dasycladus.vermicularis;b;a;2;a;1;1;1
Flabellia.petiolata;b;a;2;a;1;1;2
Halicystis.parvula;c;a;3;a;1;1;1
Halimeda.tuna;b;a;2;b;1;1;1
Microdictyon.tenuius;b;a;3;a;1;1;1
Palmophyllum.crassum;a;a;1;a;1;1;1
Parvocaulis.polyphysa.parvulus;b;a;1;b;1;1;1
Pedobesia.lamourouxii;b;a;3;a;1;1;1
Pseudochlorodesmis.furcellata;b;a;2;a;1;1;2
Valonia.utricularis;c;a;2;a;1;1;2
Aglaozonia.melanoidea;a;a;1;a;1;1;1
Cladostephus.spongiosus;b;a;3;a;1;1;1
Colpomenia.sinuosa;c;a;3;a;1;1;1
Dictyopteris.lucida;b;a;3;a;1;1;2
Dictyota.dichotoma;b;a;3;a;1;1;2
Dictyota.dichotoma.v.intricata;b;a;3;a;1;1;2
Dictyota.fasciola;b;a;3;a;1;1;1
Dictyota.spiralis;b;a;3;a;1;1;1
Halopteris.filicina;b;a;3;a;1;1;2
Halopteris.scoparia;b;a;3;a;1;1;2
Lobophora.variegata;a;a;3;a;1;1;2
Padina.pavonica;b;a;3;b;1;1;2
Pseudolithoderma.adriaticum;a;a;1;a;1;1;1
Sargassum.vulgare;d;a;3;a;1;1;1
Sphacelaria.cirrosa;b;a;1;a;1;1;1
Taonia.atomaria;b;a;3;a;1;1;1
Aglaozonia.parvula;a;a;1;a;1;1;1
Dictyota.linearis;b;a;3;a;1;1;1
Discosporangium.mesarthrocapum;b;a;2;a;1;1;1
Nereia.filiformis;b;a;2;a;1;1;1
Zanardinia.typus;a;a;2;a;1;1;2
Acrosorium.venulosum;b;a;2;a;1;1;1
Acrosymphyton.purpuriferum;b;a;3;a;1;1;1
Acrothamnion.preissii;b;a;3;a;1;1;1
Amphiroa.cryptarthrodia;b;a;2;b;1;1;1
Amphiroa.rigida;b;a;2;b;1;1;2
Botryocladia.botryoides;b;a;2;a;1;1;1
Champia.parvula;b;a;1;a;1;1;1
Corallina.elongata;b;a;2;b;1;1;2
Cryptonemia.lomation;b;a;2;a;1;1;1
Ethelia.van.bosseae;a;a;1;a;1;1;1
Gelidium.bipectinatum.serra;b;a;2;a;1;1;1
Gelidium.pusillum;b;a;3;a;1;1;1
Haliptilon.virgatum;b;a;3;b;1;1;2
Hildenbrandia.crouaniorum;a;a;1;a;1;1;1
Hydrolithon.farinosum;a;a;3;b;1;1;1
Jania.rubens;b;a;3;b;1;1;1
Laurencia.cf.chondrioides;b;a;2;a;1;1;1
Laurencia.sp;b;a;2;a;1;1;1
Lithophyllum.cabiochae;a;a;1;b;1;2;1
Lithophyllum.incrustans;a;a;1;b;1;2;2
Lithophyllum.stictaeforme;a;a;1;b;1;2;2
Meredithia.microphylla;b;a;2;a;1;1;1
Mesophyllum.alternans;a;a;2;b;1;1;2
Neogoniolithon.brassica.florida;a;a;2;b;1;1;2
Peyssonnelia.bornetii;a;a;2;a;1;1;2
Peyssonnelia.rosa.marina;a;a;1;b;1;1;2
Peyssonnelia.rubra;a;a;2;a;1;1;2
Peyssonnelia.squamaria;a;a;2;a;1;1;2
Rhodophyllis.divaricata;b;a;3;a;1;1;1
Rhodymenia.ardissonei;b;a;2;a;1;1;1
Tricleocarpa.cylindrica;b;a;2;b;1;1;1
Womersleyella.setacea;b;a;2;a;1;1;1
Wrangelia.penicillata;b;a;2;a;1;1;1
Beania.magellanica;b;b;2;a;1;1;1
