,Aglaozonia.parvula,Colpomenia.sinuosa,Dictyota.dichotoma,Dictyota.dichotoma.v.intricata,Dictyota.linearis,Discosporangium.mesarthrocapum,Halopteris.filicina,Halopteris.scoparia,Lobophora.variegata,Nereia.filiformis,Padina.pavonica,Sphacelaria.cirrosa,Zanardinia.typus,Acrosymphyton.purpuriferum ,Acrothamnion.preissii,Amphiroa.rigida,Amphiroa.cryptarthrodia,Champia.parvula,Corallina.elongata,Gelidium.bipectinatum.serra,Haliptilon.virgatum,Hildenbrandia.crouaniorum,Hydrolithon.farinosum,Lithophyllum.incrustans,Peyssonnelia.bornetii,Peyssonnelia.rosa.marina,Peyssonnelia.squamaria,Mesophyllum.alternans,Neogoniolithon.brassica.florida,Rhodymenia.ardissonei,Tricleocarpa.cylindrica,Womersleyella.setacea,Wrangelia.penicillata,Acetabularia.acetabulum,Anadyomene.stellata,Caulerpa.cylindracea,Cladophora.aff.coelothrix,Cladophora.prolifera,Cladophora.sp,Codium.bursa,Dasycladus.vermicularis,Flabellia.petiolata,Halimeda.tuna,Microdictyon.tenuius,Parvocaulis.polyphysa.parvulus,Pedobesia.lamourouxii,Chondrilla.nucula,Chondrosia.reniformis,Spirastrella.magica,Cliona.viridis,Crambe.crambe,Crella.elegans,Hymedesmia.versicolor,Petrosia.ficiformis,Sarcotragus.spinosulus,Sycon.raphanus,Balanophyllia.europaea,Cladocora.caespitosa,Cornularia.cornucopiae,Botryocladia.botryoides,Schizoporella.dunkeri,Reptadeonella.violacea,Scrupocellaria.sp,Watersipora.subovoidea,Eupolymnia.nebulosa,Myxicola.aesthetica,Polychaeta.unidentified,Protula.sp,Arca.noae,Rocellaria.dubia,Spondylus.gaederopus,Balanus.perforatus,Calcinus.tubularis,Didemnum.cf.commune,Didemnum.sp,Turf 
1V2,0,0,0,1.25,2.5,8.75,0,30,2.5,0,0,6.25,0,0,0,0,0,1.25,0,0,2.5,0,0,0,3.75,0,0,1.25,3.75,10,0,12.5,0,1.25,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2V2,0,0,0,0,0,5.208333333,0,26.04166667,2.083333333,0,3.125,4.166666667,0,0,3.125,0,0,0,2.083333333,0,13.54166667,0,0,0,6.25,4.166666667,0,2.083333333,0,7.291666667,0,8.333333333,0,0,0,5.208333333,0,0,0,2.083333333,0,2.083333333,0,0,0,1.041666667,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3V2,0,0,0,0,0,8.421052632,0,21.05263158,6.315789474,0,3.157894737,15.78947368,0,0,0,0,0,0,0,0,5.263157895,0,0,0,3.157894737,0,0,0,0,10.52631579,0,7.368421053,0,0,0,7.368421053,0,1.052631579,0,1.052631579,0,0,0,0,0,0,0,3.157894737,0,0,4.210526316,0,0,0,0,1.052631579,0,1.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4V2,0,0,0,0,0,7.777777778,0,25.55555556,2.222222222,0,4.444444444,5.555555556,0,0,0,0,0,0,0,0,2.222222222,0,0,0,7.777777778,0,0,0,10,8.888888889,1.111111111,6.666666667,0,0,0,10,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0
5V2,0,0,0,0,0,3.773584906,1.886792453,21.69811321,0,0.943396226,1.886792453,16.98113208,0,0,0,0,0,0,0,0,0.943396226,0,0,0,10.37735849,5.660377358,0,0,9.433962264,10.37735849,0,0,0,0,0,15.09433962,0,0,0,0.943396226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6V2,0,0,0.884955752,0.884955752,0,4.424778761,0,17.69911504,6.194690265,0,0.884955752,13.27433628,0,0,0,0,0,0,0,0,1.769911504,0,0,0,1.769911504,0,0,0,20.3539823,11.50442478,0,10.61946903,0,0.884955752,0,6.194690265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769911504,0,0,0,0,0,0.884955752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7V2,0,0,0,0,0,8.139534884,4.651162791,8.139534884,3.488372093,0,3.488372093,5.813953488,0,2.325581395,0,0,0,1.162790698,0,0,0,2.325581395,4.651162791,0,17.44186047,4.651162791,0,0,0,0,0,2.325581395,0,0,0,5.813953488,0,0,0,0,0,13.95348837,0,0,0,0,0,5.813953488,0,0,0,1.162790698,0,0,0,0,0,0,0,0,0,0,0,1.162790698,0,2.325581395,0,0,0,0,0,0,0,0,1.162790698,0
8V2,0,0,0,4.938271605,0,2.469135802,2.469135802,12.34567901,1.234567901,0,2.469135802,7.407407407,0,1.234567901,0,0,0,0,0,0,0,0,0,0,4.938271605,0,0,0,6.172839506,4.938271605,1.234567901,6.172839506,0,0,1.234567901,7.407407407,0,0,0,3.703703704,0,3.703703704,0,0,0,0,0,7.407407407,0,0,9.87654321,0,0,0,0,0,1.234567901,7.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9V2,0,0,0,2.803738318,0,2.803738318,0,23.36448598,2.803738318,0,1.869158879,22.42990654,0,0,0,0,0,0,0,0,0.934579439,0,0,0,0,1.869158879,7.476635514,0,9.345794393,2.803738318,0,0,0,0.934579439,0,5.607476636,0,0,0,0.934579439,0,0.934579439,0.934579439,1.869158879,0,0,0,0,0.934579439,0,2.803738318,0,0,0,0,0.934579439,0.934579439,1.869158879,0.934579439,0,0,1.869158879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10V2,0,0,0,2.083333333,0,2.083333333,0,23.95833333,0,0,5.208333333,15.625,0,0,0,0,0,0,0,0,2.083333333,0,0,0,0,0,6.25,12.5,7.291666667,0,0,0,0,2.083333333,0,3.125,2.083333333,0,0,6.25,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,3.125,0,0,1.041666667,0,0,0,0,0,0
