Quadrats,site,condition,Description.condition,X,names.sites,depth,pH,habitat
1A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
2A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
3A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
4A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
5A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
6A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
7A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
8A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
9A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
10A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
11A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
12A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
13A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
14A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
15A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
16A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
17A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
18A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
19A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
20A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
21A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
22A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
23A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
24A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
25A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
26A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
27A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
28A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
29A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
30A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
31A3a,A3a,CA,cave.ambient.pH,CA1,punta.vico,3,ambient1,cave
