Species ,FE,form,feeding,growth,calcification,mobility,agerepromaturity,chem
Acetabularia.acetabulum,ba2b111,b,a,2,b,1,1,1
Anadyomene.stellata,ba2a112,b,a,2,a,1,1,2
Bryopsis.duplex,ba2a111,b,a,2,a,1,1,1
Caulerpa.cylindracea,ba3a112,b,a,3,a,1,1,2
Cladophora.aff.coelothrix,ba3a111,b,a,3,a,1,1,1
Cladophora.coelothrix,ba3a111,b,a,3,a,1,1,1
Cladophora.prolifera,ba3a111,b,a,3,a,1,1,1
Cladophora.sp,ba3a111,b,a,3,a,1,1,1
Codium.bursa,ca2a122,c,a,2,a,1,2,2
Dasycladus.vermicularis,ba2a111,b,a,2,a,1,1,1
Flabellia.petiolata,ba2a112,b,a,2,a,1,1,2
Halicystis.parvula,ca3a111,c,a,3,a,1,1,1
Halimeda.tuna,ba2b111,b,a,2,b,1,1,1
Microdictyon.tenuius,ba3a111,b,a,3,a,1,1,1
Palmophyllum.crassum,aa1a111,a,a,1,a,1,1,1
Parvocaulis.polyphysa.parvulus,ba1b111,b,a,1,b,1,1,1
Pedobesia.lamourouxii,ba3a111,b,a,3,a,1,1,1
Pseudochlorodesmis.furcellata,ba2a112,b,a,2,a,1,1,2
Valonia.utricularis,ca2a112,c,a,2,a,1,1,2
Aglaozonia.melanoidea,aa1a111,a,a,1,a,1,1,1
Cladostephus.spongiosus,ba3a111,b,a,3,a,1,1,1
Colpomenia.sinuosa,ca3a111,c,a,3,a,1,1,1
Dictyopteris.lucida,ba3a112,b,a,3,a,1,1,2
Dictyota.dichotoma,ba3a112,b,a,3,a,1,1,2
Dictyota.dichotoma.v.intricata,ba3a112,b,a,3,a,1,1,2
Dictyota.fasciola,ba3a111,b,a,3,a,1,1,1
Dictyota.spiralis,ba3a111,b,a,3,a,1,1,1
Halopteris.filicina,ba3a112,b,a,3,a,1,1,2
Halopteris.scoparia,ba3a112,b,a,3,a,1,1,2
Lobophora.variegata,aa3a112,a,a,3,a,1,1,2
Padina.pavonica,ba3b112,b,a,3,b,1,1,2
Pseudolithoderma.adriaticum,aa1a111,a,a,1,a,1,1,1
Sargassum.vulgare,da3a111,d,a,3,a,1,1,1
Sphacelaria.cirrosa,ba1a111,b,a,1,a,1,1,1
Taonia.atomaria,ba3a111,b,a,3,a,1,1,1
Aglaozonia.parvula,aa1a111,a,a,1,a,1,1,1
Dictyota.linearis,ba3a111,b,a,3,a,1,1,1
Discosporangium.mesarthrocapum,ba2a111,b,a,2,a,1,1,1
Nereia.filiformis,ba2a111,b,a,2,a,1,1,1
Zanardinia.typus,aa2a112,a,a,2,a,1,1,2
Acrosorium.venulosum,ba2a111,b,a,2,a,1,1,1
Acrosymphyton.purpuriferum,ba3a111,b,a,3,a,1,1,1
Acrothamnion.preissii,ba3a111,b,a,3,a,1,1,1
Amphiroa.cryptarthrodia,ba2b111,b,a,2,b,1,1,1
Amphiroa.rigida,ba2b112,b,a,2,b,1,1,2
Botryocladia.botryoides,ba2a111,b,a,2,a,1,1,1
Champia.parvula,ba1a111,b,a,1,a,1,1,1
Corallina.elongata,ba2b112,b,a,2,b,1,1,2
Cryptonemia.lomation,ba2a111,b,a,2,a,1,1,1
Ethelia.van.bosseae,aa1a111,a,a,1,a,1,1,1
Gelidium.bipectinatum.serra,ba2a111,b,a,2,a,1,1,1
Gelidium.pusillum,ba3a111,b,a,3,a,1,1,1
Haliptilon.virgatum,ba3b112,b,a,3,b,1,1,2
Hildenbrandia.crouaniorum,aa1a111,a,a,1,a,1,1,1
Hydrolithon.farinosum,aa3b111,a,a,3,b,1,1,1
Jania.rubens,ba3b111,b,a,3,b,1,1,1
Laurencia.cf.chondrioides,ba2a111,b,a,2,a,1,1,1
Laurencia.sp,ba2a111,b,a,2,a,1,1,1
Lithophyllum.cabiochae,aa1b121,a,a,1,b,1,2,1
Lithophyllum.incrustans,aa1b122,a,a,1,b,1,2,2
Lithophyllum.stictaeforme,aa1b122,a,a,1,b,1,2,2
Meredithia.microphylla,ba2a111,b,a,2,a,1,1,1
Mesophyllum.alternans,aa2b112,a,a,2,b,1,1,2
Neogoniolithon.brassica.florida,aa2b112,a,a,2,b,1,1,2
Peyssonnelia.bornetii,aa2a112,a,a,2,a,1,1,2
Peyssonnelia.rosa.marina,aa1b112,a,a,1,b,1,1,2
Peyssonnelia.rubra,aa2a112,a,a,2,a,1,1,2
Peyssonnelia.squamaria,aa2a112,a,a,2,a,1,1,2
Rhodophyllis.divaricata,ba3a111,b,a,3,a,1,1,1
Rhodymenia.ardissonei,ba2a111,b,a,2,a,1,1,1
Tricleocarpa.cylindrica,ba2b111,b,a,2,b,1,1,1
Womersleyella.setacea,ba2a111,b,a,2,a,1,1,1
Wrangelia.penicillata,ba2a111,b,a,2,a,1,1,1
Beania.magellanica,bb2a111,b,b,2,a,1,1,1
Bugulina.flabellata,bb2b111,b,b,2,b,1,1,1
Bugulina.calathus,bb2b111,b,b,2,b,1,1,1
Caberea.boryi,bb1b111,b,b,1,b,1,1,1
Cellaria.salicornioides,bb2b111,b,b,2,b,1,1,1
Celleporina.caminata,cb2b111,c,b,2,b,1,1,1
Celleporina.sp,cb2b111,c,b,2,b,1,1,1
Crisia.sp ,bb1b112,b,b,1,b,1,1,2
Crisia.sigmoidea,bb1b112,b,b,1,b,1,1,2
Lichenopora.radiata,ab3b111,a,b,3,b,1,1,1
Margaretta.cereoides,db2b112,d,b,2,b,1,1,2
Mimosella.gracilis,bb2a111,b,b,2,a,1,1,1
Myriapora.truncata,db2b122,d,b,2,b,1,2,2
Pentapora.ottomuelleriana,ab2b121,a,b,2,b,1,2,1
Pherusella.cf.tubulosa ,bb2a111,b,b,2,a,1,1,1
Puellina.radiata,ab2b111,a,b,2,b,1,1,1
Reptadeonella.violacea,ab1b121,a,b,1,b,1,2,1
Reteporella.grimaldii,cb3b112,c,b,3,b,1,1,2
Rhynchozoon.bispinosum,ab2b111,a,b,2,b,1,1,1
Rhynchozoon.neapolitanum,ab2b111,a,b,2,b,1,1,1
Savygniella.lafontii,bb2b111,b,b,2,b,1,1,1
Schizobrachiella.sanguinea,ab2b112,a,b,2,b,1,1,2
Schizomavella.mamillata,ab2b112,a,b,2,b,1,1,2
Schizoporella.cf.errata ,ab3b111,a,b,3,b,1,1,1
Schizoporella.dunkeri,ab2b111,a,b,2,b,1,1,1
Schizoporella.longicornis,ab2b111,a,b,2,b,1,1,1
